Symbol,Underlying,Security Name, Date of Listing, Market Lot,ISIN Number, Face Value
BANKBEES,Nifty Bank,R*Shares Bank BeES,4-Jun-04,1,INF732E01078,10
GOLDBEES,Gold,R*Shares Gold BeES,19-Mar-07,1,INF732E01102,100
GOLDSHARE,Gold,UTI Mutual Fund - UTI Gold Exchange Traded Fund,17-Apr-07,1,INF789F01059,100
JUNIORBEES,Nifty Next 50,R*Shares Junior BeES,6-Mar-03,1,INF732E01045,1.25
KOTAKGOLD,Gold,Kotak Mutual Fund - Gold Exchange Traded Fund,8-Aug-07,1,INF373I01049,10
KOTAKPSUBK,Nifty PSU Bank,Kotak Mahindra Mutual Fund,16-Nov-07,1,INF373I01023,10
LIQUIDBEES,Government Securities,R*Shares Liquid BeES,16-Jul-03,1,INF732E01037,1000
NIFTYBEES,Nifty 50,R*Shares Nifty BeES,8-Jan-02,1,INF732E01011,10
PSUBNKBEES,Nifty PSU Bank,R*Shares PSU Bank BeES,1-Nov-07,1,INF732E01110,10
QGOLDHALF,Gold,Quantum Gold Fund -Exchange Traded Fund (ETF),28-Feb-08,1,INF082J01010,100
QNIFTY,Nifty 50,Quantum Nifty ETF,18-Jul-08,1,INF082J01028,10
SETFGOLD,Gold,SBI-ETF Gold,28-May-09,1,INF200K01099,100
SHARIABEES,Shariah,R*Shares Shariah BeES,1-Apr-09,1,INF732E01128,10
KOTAKNIFTY,Nifty 50,Kotak Mahindra Mutual Fund-Kotak Nifty ETF,11-Feb-10,1,INF174K01518,10
HNGSNGBEES,Hang Seng Index,R*Shares Hang Seng BeES,18-Mar-10,1,INF732E01227,10
IVZINGOLD,Gold,Invesco India Gold Exchange Traded Fund,22-Mar-10,1,INF205K01361,100
M50,Nifty 50,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF,30-Jul-10,1,INF247L01536,7
HDFCMFGETF,Gold,HDFC Mutual Fund-HDFC Gold Exchange Traded Fund,19-Aug-10,1,INF179K01CN1,100
GOLDIWIN,Gold,ICICI Prudential Gold Exchange Traded Fund,2-Sep-10,1,INF109KB1WF4,100
INFRABEES,Nifty Infra,R*Shares Infra BeES,5-Oct-10,1,INF732E01268,10
AXISGOLD,Gold,Axis Mutual Fund - Axis Gold ETF,16-Nov-10,1,INF846K01347,100
M100,Nifty Midcap 100,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO,4-Feb-11,1,INF247L01023,10
N100,Nasdaq100,Motilal Oswal Mutual Fund-Motilal Oswal MOSt Shares NASDAQ 100 ETF -GO,31-Mar-11,1,INF247L01031,10
BSLNIFTY,Nifty 50,Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF - Growth,27-Jul-11,1,INF209K01IR4,10
BSLGOLDETF,Gold,Birla Sun Life Mutual Fund - Birla Sun Life Gold ETF - Growth,20-May-11,1,INF209K01HT2,10
IVZINNIFTY,Nifty 50,Invesco India Nifty Exchange Traded Fund,17-Jun-11,1,INF205K01DA9,10
IDBIGOLD,Gold,IDBI Mutual Fund - IDBI Gold Exchange Traded Fund,17-Nov-11,1,INF397L01554,100
CRMFGETF,Gold,Canara Robeco Mutual Fund - Canara Robeco - Gold ETF,23-Mar-12,1,INF760K01BR1,100
NIFTYIWIN,Nifty 50,ICICI Prudential Nifty Exchange Traded Fund,26-Mar-13,1,INF109K012R6,10
RELCNX100,Nifty 100,Reliance Mutual Fund - R* Shares CNX 100 Fund,28-Mar-13,1,INF204K014N5,10
NIF100IWIN,Nifty 100,ICICI Prudential Nifty 100 ETF,26-Aug-13,1,INF109KA1962,10
CPSEETF,Nifty CPSE,CPSE ETF*,4-Apr-14,1,INF457M01133,10
RELCONS,Nifty Consumption,Reliance MF - R*Shares Consumption Fund - R* SHARES CONSUMPTION FUND,11-Apr-14,1,INF204KA1LD7,10
RELDIVOPP,Nifty Div Opps 50,Reliance MF - R*Shares Dividend Opportunities Fund - RSDOETF,23-Apr-14,1,INF204KA1MS3,10
SENSEXIWIN,SENSEX,ICICI Prudential Sensex ETF,23-Jul-14,1,INF346A01034,10
KOTAKBKETF,Nifty Bank,Kotak Mahindra MF - Kotak Banking ETF - Dividend Payout Option,11-Dec-14,1,INF174K01F59,10
LICNETFGSC,GSEC10 NSE Index,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO,1-Jan-15,1,INF767K01MV5,10
SETFNN50,Nifty Next 50,SBI-ETF Nifty Next 50,25-Mar-15,1,INF200KA1598,10
SETFNIFBK,Nifty Bank,SBI-ETF Nifty Bank,25-Mar-15,1,INF200KA1580,10
NIFTYEES,Nifty 50,Edelweiss ETF - Nifty 50 ,14-May-15,1,INF754K01EK3,10
RELNV20,Nifty50 Value 20,Reliance Mutual Fund - R*Shares NV20 ETF,23-Jun-15,1,INF204KA17D8,10
SETFNIF50,Nifty 50,SBI-ETF Nifty 50,27-Jul-15,1,INF200KA1FS1,10
UTINIFTETF,Nifty 50,UTI Mutual Fund - UTI-Nifty Exchange Traded Fund,3-Sep-15,1,INF789FB1X41,10
UTISENSETF,SENSEX,UTI Mutual Fund - UTI-Sensex Exchange Traded Fund ,3-Sep-15,1,INF789FB1X58,10
LICNETFN50,Nifty 50,LICNAMC - LICNFENGP,30-Nov-15,1,INF767K01OS7,10
LICNETFSEN,SENSEX,LICNAMC - LICNFESGP,7-Dec-15,1,INF767K01OT5,10
KOTAKNV20,Nifty50 Value 20,KOTAKMAMC - KTKNV20ETF,9-Dec-15,1,INF174K01Z71,10
HDFCNIFETF,Nifty 50,HDFCAMC - HDFCNIFETF,16-Dec-15,1,INF179KB1KP3,761.25
HDFCSENETF,SENSEX,HDFCAMC - HDFCSENETF,16-Dec-15,1,INF179KB1KQ1,2503.61
EBANK,Nifty Bank,Edelweiss ETF - Nifty Bank ,18-Dec-15,1,INF754K01EL1,10
LICNFNHGP,Nifty 100,LICNAMC - LICNFNHGP,28-Mar-16,1,INF767K01PC8,10
EQ30,Nifty Quality 30,EDELAMC - EQ30,30-May-16,1,INF754K01EM9,10
SETF10GILT,Nifty 10 yr Benchmark G-Sec Index,SBIAMC - SETF10GILT,17-Jun-16,1,INF200KA1JT1,10
NV20IWIN,Nifty50 Value 20,ICICI Prudential NV20 ETF,22-Jun-16,1,INF109KB1WY5,36.3
RRSLGETF,Nifty GS 8 13Yr,RELCAPAMC - RRSLGETF,11-Jul-16,1,INF204KB1882,10
MIDCAPIWIN,S&P BSE Midcap Select Index,ICICI Prudential Midcap Select ETF,11-Jul-16,1,INF109KB1XT3,10
IDFNIFTYET,NIFTY 50,IDFCAMC - IDFNIFTYET,18-Oct-16,1,INF194KA1U07,10
AXISNIFTY,NIFTY 50,AXISAMC - AXISNIFTY,10-Jul-17,1,INF846K01ZL0,100
LOWVOLIWIN,Nifty 100 Low Volatility 30 Index,ICICIPRAMC - LOWVOLIWIN,10-Jul-17,1,INF109KB10T8,10
UTINEXT50,Nifty Next 50,UTIAMC - UTINEXT50,8-Aug-17,1,INF789FC1N82,10
