SYMBOL,NAME,FC
GULFOILLUB,Gulf Oil Lubricants India Limited,2
GULFPETRO,GP Petroleums Limited,5
GULPOLY,Gulshan Polyols Limited,1
GVKPIL,GVK Power & Infrastructure Limited,1
HANUNG,Hanung Toys and Textiles Limited,10
HARITASEAT,Harita Seating Systems Limited,10
HARRMALAYA,Harrisons  Malayalam Limited,10
HATHWAY,Hathway Cable & Datacom Limited,2
HATSUN,Hatsun Agro Product Limited,1
HAVELLS,Havells India Limited,1
HBLPOWER,HBL Power Systems Limited,1
HBSTOCK,HB Stockholdings Limited,10
HCC,Hindustan Construction Company Limited,1
HCG,Healthcare Global Enterprises Limited,10
HCL-INSYS,HCL Infosystems Limited,2
HCLTECH,HCL Technologies Limited,2
HDFC,Housing Development Finance Corporation Limited,2
HDFCBANK,HDFC Bank Limited,2
HDFCBANK,HDFC Bank Limited,2
HDIL,Housing Development and Infrastructure Limited,10
HEG,HEG Limited,10
HEIDELBERG,HeidelbergCement India Limited,10
HERCULES,Hercules Hoists Limited,1
HERITGFOOD,Heritage Foods Limited,10
HEROMOTOCO,Hero MotoCorp Limited,2
HESTERBIO,Hester Biosciences Limited,10
HEXATRADEX,Hexa Tradex Limited,2
HEXAWARE,Hexaware Technologies Limited,2
HFCL,Himachal Futuristic Communications Limited,1
HGS,Hinduja Global Solutions Limited,10
HIGHGROUND,High Ground Enterprise Limited,1
HIKAL,Hikal Limited,2
HIL,HIL Limited,10
HILTON,Hilton Metal Forging Limited,10
HIMATSEIDE,Himatsingka Seide Limited,5
HINDALCO,Hindalco Industries Limited,1
HINDCOMPOS,Hindustan Composites Limited,5
HINDCOPPER,Hindustan Copper Limited,5
HINDMOTORS,Hindustan Motors Limited,5
HINDNATGLS,Hindusthan National Glass & Industries Limited,2
HINDOILEXP,Hindustan Oil Exploration Company Limited,10
HINDPETRO,Hindustan Petroleum Corporation Limited,10
HINDSYNTEX,Hind Syntex Limited,10
HINDUJAVEN,Hinduja Ventures Limited,10
HINDUNILVR,Hindustan Unilever Limited,1
HINDZINC,Hindustan Zinc Limited,2
HIRECT,Hind Rectifiers Limited,2
HISARMETAL,Hisar Metal Industries Limited,10
HITECHCORP,Hitech Corporation Limited,10
HITECHGEAR,The Hi-Tech Gears Limited,10
HMT,HMT Limited,10
HMVL,Hindustan Media Ventures Limited,10
HONAUT,Honeywell Automation India Limited,10
HONDAPOWER,Honda Siel Power Products Limited,10
HOTELEELA,Hotel Leela Venture Limited,2
HOTELRUGBY,Hotel Rugby Limited,10
HOVS,HOV Services Limited,10
HPL,HPL Electric & Power Limited,10
HSCL,Himadri Speciality Chemical Limited,1
HSIL,HSIL Limited,2
HTMEDIA,HT Media Limited,2
HUBTOWN,Hubtown Limited,10
HUDCO,Housing & Urban Development Corporation Limited,10
IBREALEST,Indiabulls Real Estate Limited,2
IBULHSGFIN,Indiabulls Housing Finance Limited,2
IBVENTURES,Indiabulls Ventures Limited,2
ICICIBANK,ICICI Bank Limited,2
ICICIGI,ICICI Lombard General Insurance Company Limited,10
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,10
ICIL,Indo Count Industries Limited,2
ICRA,ICRA Limited,10
ICSA,ICSA (India) Limited,2
IDBI,IDBI Bank Limited,10
IDEA,Idea Cellular Limited,10
IDFC,IDFC Limited,10
IDFCBANK,IDFC Bank Limited,10
IFBAGRO,IFB Agro Industries Limited,10
IFBIND,IFB Industries Limited,10
IFCI,IFCI Limited,10
IGARASHI,Igarashi Motors India Limited,10
IGL,Indraprastha Gas Limited,10
IGPL,IG Petrochemicals Limited,10
IIFL,IIFL Holdings Limited,2
IITL,Industrial Investment Trust Limited,10
IL&FSENGG,IL&FS Engineering and Construction Company Limited,10
IL&FSTRANS,IL&FS Transportation Networks Limited,10
IMFA,Indian Metals & Ferro Alloys Limited,10
IMPAL,India Motor Parts and Accessories Limited,10
INDBANK,Indbank Merchant Banking Services Limited,10
INDHOTEL,The Indian Hotels Company Limited,1
INDIACEM,The India Cements Limited,10
INDIAGLYCO,India Glycols Limited,10
INDIANB,Indian Bank,10
INDIANCARD,Indian Card Clothing Company Limited,10
INDIANHUME,Indian Hume Pipe Company Limited,2
INDIGO,InterGlobe Aviation Limited,10
INDLMETER,IMP Powers Limited,10
INDNIPPON,India Nippon Electricals Limited,10
INDOCO,Indoco Remedies Limited,2
INDORAMA,Indo Rama Synthetics (India) Limited,10
INDOSOLAR,Indosolar Limited,10
INDOTECH,Indo Tech Transformers Limited,10
INDOTHAI,Indo Thai Securities Limited,10
INDOWIND,Indowind Energy Limited,10
INDRAMEDCO,Indraprastha Medical Corporation Limited,10
INDSWFTLAB,Ind-Swift Laboratories Limited,10
INDSWFTLTD,Ind-Swift Limited,2
INDTERRAIN,Indian Terrain Fashions Limited,2
INDUSINDBK,IndusInd Bank Limited,10
INEOSSTYRO,INEOS Styrolution India Limited,10
INFIBEAM,Infibeam Incorporation Limited,1
INFINITE,Infinite Computer Solutions (India) Limited,10
INFRATEL,Bharti Infratel Limited,10
INFY,Infosys Limited,5
INGERRAND,Ingersoll Rand (India) Limited,10
INOXLEISUR,INOX Leisure Limited,10
INOXWIND,Inox Wind Limited,10
INSECTICID,Insecticides (India) Limited,10
INTEGRA,Integra Garments and Textiles Limited,3
INTELLECT,Intellect Design Arena Limited,5
INTENTECH,Intense Technologies Limited,2
INVENTURE,Inventure Growth & Securities Limited,10
IOB,Indian Overseas Bank,10
IOC,Indian Oil Corporation Limited,10
IOLCP,IOL Chemicals and Pharmaceuticals Limited,10
IPAPPM,International Paper APPM Limited,10
IPCALAB,IPCA Laboratories Limited,2
IRB,IRB Infrastructure Developers Limited,10
ISFT,Intrasoft Technologies Limited,10
ISMTLTD,ISMT Limited,5
ITC,ITC Limited,1
ITDC,India Tourism Development Corporation Limited,10
ITDCEM,ITD Cementation India Limited,1
ITI,ITI Limited,10
IVC,IL&FS Investment Managers Limited,2
IVP,IVP Limited,10
IVRCLINFRA,IVRCL Limited,2
IZMO,IZMO Limited,10
J&KBANK,The Jammu & Kashmir Bank Limited,1
JAGRAN,Jagran Prakashan Limited,2
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,5
JAIBALAJI,Jai Balaji Industries Limited,10
JAICORPLTD,Jai Corp Limited,1
JAIHINDPRO,Jaihind Projects Limited,10
JAINSTUDIO,Jain Studios Limited,10
JAMNAAUTO,Jamna Auto Industries Limited,5
JAYAGROGN,Jayant Agro Organics Limited,5
JAYBARMARU,Jay Bharat Maruti Limited,5
JAYNECOIND,Jayaswal Neco Industries Limited,10
JAYSREETEA,Jayshree Tea & Industries Limited,5
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,2
JBFIND,JBF Industries Limited,10
JBMA,JBM Auto Limited,5
JCHAC,Johnson Controls -Hitachi Air Conditioning India Limited,10
JENSONICOL,Jenson & Nicholson (India) Limited,2
JETAIRWAYS,Jet Airways (India) Limited,10
JHS,JHS Svendgaard Laboratories Limited,10
JINDALPHOT,Jindal Photo Limited,10
JINDALPOLY,Jindal Poly Films Limited,10
JINDALSAW,Jindal Saw Limited,2
JINDALSTEL,Jindal Steel & Power Limited,1
JINDCOT,Jindal Cotex Limited,10
JINDRILL,Jindal Drilling And Industries Limited,5
JINDWORLD,Jindal Worldwide Limited,10
JISLDVREQS,Jain Irrigation Systems Limited,2
JISLJALEQS,Jain Irrigation Systems Limited,2
JITFINFRA,JITF Infralogistics Limited,2
JKCEMENT,JK Cement Limited,10
JKIL,J.Kumar Infraprojects Limited,5
JKLAKSHMI,JK Lakshmi Cement Limited,5
JKPAPER,JK Paper Limited,10
JKTYRE,JK Tyre & Industries Limited,2
JMA,Jullundur Motor Agency (Delhi) Limited,10
JMCPROJECT,JMC Projects (India)  Limited,10
JMFINANCIL,JM Financial Limited,1
JMTAUTOLTD,JMT Auto Limited,1
JOCIL,Jocil Limited,10
JPASSOCIAT,Jaiprakash Associates Limited,2
JPINFRATEC,Jaypee Infratech Limited,10
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,10
JPPOWER,Jaiprakash Power Ventures Limited,10
JSL,Jindal Stainless Limited,2
JSLHISAR,Jindal Stainless (Hisar) Limited,2
JSWENERGY,JSW Energy Limited,10
JSWHL,JSW Holdings Limited,10
JSWHL,JSW Holdings Limited,10
JSWSTEEL,JSW Steel Limited,1
JUBILANT,Jubilant Life Sciences Limited,1
JUBLFOOD,Jubilant Foodworks Limited,10
JUBLINDS,Jubilant Industries Limited,10
JUSTDIAL,Just Dial Limited,10
JVLAGRO,JVL Agro Industries Limited,1
JYOTHYLAB,Jyothy Laboratories Limited,1
JYOTISTRUC,Jyoti Structures Limited,2
KABRAEXTRU,Kabra Extrusion Technik Limited,5
KAJARIACER,Kajaria Ceramics Limited,1
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,10
KALPATPOWR,Kalpataru Power Transmission Limited,2
KALYANI,Kalyani Commercials Limited,10
KALYANIFRG,Kalyani Forge Limited,10
KAMATHOTEL,Kamat Hotels (I) Limited,10
KAMDHENU,Kamdhenu Limited,10
KANANIIND,Kanani Industries Limited,1
KANORICHEM,Kanoria Chemicals & Industries Limited,5
KANSAINER,Kansai Nerolac Paints Limited,1
KARMAENG,Karma Energy Limited,10
KARURVYSYA,Karur Vysya Bank Limited,2
KAVVERITEL,Kavveri Telecom Products Limited,10
KAYA,Kaya Limited,10
KCP,KCP Limited,1
KCPSUGIND,KCP Sugar and Industries Corporation Limited,1
KDDL,KDDL Limited,10
KEC,KEC International Limited,2
KECL,Kirloskar Electric Company Limited,10
KEI,KEI Industries Limited,2
KELLTONTEC,Kellton Tech Solutions Limited,5
KERNEX,Kernex Microsystems (India) Limited,10
KESARENT,Kesar Enterprises Limited,10
KESORAMIND,Kesoram Industries Limited,10
KEYCORPSER,Keynote Corporate Services Limited,10
KGL,Karuturi Global Limited,1
KHAITANELE,Khaitan Electricals Limited,10
KHAITANLTD,Khaitan (India) Limited,10
KHANDSE,Khandwala Securities Limited,10
KICL,Kalyani Investment Company Limited,10
KILITCH,Kilitch Drugs (India) Limited,10
KINGFA,Kingfa Science & Technology (India) Limited,10
KIOCL,KIOCL Limited,10
KIRIINDUS,Kiri Industries Limited,10
KIRLOSBROS,Kirloskar Brothers Limited,2
KIRLOSENG,Kirloskar Oil Engines Limited,2
KIRLOSIND,Kirloskar Industries Limited,10
KITEX,Kitex Garments Limited,1
KKCL,Kewal Kiran Clothing Limited,10
KMSUGAR,K.M.Sugar Mills Limited,2
KNRCON,KNR Constructions Limited,2
KOHINOOR,Kohinoor Foods Limited,10
KOKUYOCMLN,Kokuyo Camlin Limited,1
KOLTEPATIL,Kolte - Patil Developers Limited,10
KOPRAN,Kopran Limited,10
KOTAKBANK,Kotak Mahindra Bank Limited,5
KOTARISUG,Kothari Sugars And Chemicals Limited,10
KOTHARIPET,Kothari Petrochemicals Limited,10
KOTHARIPRO,Kothari Products Limited,10
KPIT,KPIT Technologies Limited,2
KPRMILL,K.P.R. Mill Limited,5
KRBL,KRBL Limited,1
KREBSBIO,Krebs Biochemicals and Industries Limited,10
KRIDHANINF,Kridhan Infra Limited,2
KSBPUMPS,KSB Pumps Limited,10
KSCL,Kaveri Seed Company Limited,2
KSERASERA,KSS Limited,1
KSK,KSK Energy Ventures Limited,10
KSL,Kalyani Steels Limited,5
KTIL,Kesar Terminals & Infrastructure Limited,5
KTKBANK,The Karnataka Bank Limited,10
KWALITY,kwality limited,1
L&TFH,L&T Finance Holdings Limited,10
LAKPRE,Lakshmi Precision Screws Limited,10
LAKSHMIEFL,Lakshmi Energy and Foods Limited,2
LAKSHVILAS,Lakshmi Vilas Bank Limited,10
LALPATHLAB,Dr. Lal Path Labs Ltd.,10
LAMBODHARA,Lambodhara Textiles Limited,5
LAOPALA,La Opala RG Limited,2
LASA,Lasa Supergenerics Limited,10
LAURUSLABS,Laurus Labs Limited,10
LAXMIMACH,Lakshmi Machine Works Limited,10
LCCINFOTEC,LCC Infotech Limited,2
LEEL,LEEL Electricals Limited,10
LFIC,Lakshmi Finance & Industrial Corporation Limited,10
LGBBROSLTD,LG Balakrishnan & Bros Limited,10
LIBERTSHOE,Liberty Shoes Limited,10
LICHSGFIN,LIC Housing Finance Limited,2
LINCOLN,Lincoln Pharmaceuticals Limited,10
LINCPEN,Linc Pen & Plastics Limited,10
LINDEINDIA,Linde India Limited,10
LITL,Lanco Infratech Limited,1
LML,LML Limited,10
LOKESHMACH,Lokesh Machines Limited,10
LOTUSEYE,Lotus Eye Care Hospital Limited,10
LOVABLE,Lovable Lingerie Limited,10
LPDC,Landmark Property Development Company Limited,1
LSIL,Lloyds Steels Industries Limited,1
LT,Larsen & Toubro Limited,2
LTI,Larsen & Toubro Infotech Limited,1
LTTS,L&T Technology Services Limited,2
LUMAXIND,Lumax Industries Limited,10
LUMAXTECH,Lumax Auto Technologies Limited,10
LUPIN,Lupin Limited,2
LUXIND,Lux Industries Limited,2
LYCOS,Lycos Internet Limited,2
LYKALABS,Lyka Labs Limited,10
LYPSAGEMS,Lypsa Gems & Jewellery Limited,10
M&M,Mahindra & Mahindra Limited,5
M&MFIN,Mahindra & Mahindra Financial Services Limited,2
MAANALU,Maan Aluminium Limited,10
MADHAV,Madhav Marbles and Granites Limited,10
MADHUCON,Madhucon Projects Limited,1
MADRASFERT,Madras Fertilizers Limited,10
MAGADSUGAR,Magadh Sugar & Energy Limited,10
MAGMA,Magma Fincorp Limited,2
MAGNUM,Magnum Ventures Limited,10
MAHABANK,Bank of Maharashtra,10
MAHASTEEL,Mahamaya Steel Industries Limited,10
MAHINDCIE,Mahindra CIE Automotive Limited,10
MAHLIFE,Mahindra Lifespace Developers Limited,10
MAHSCOOTER,Maharashtra Scooters Limited,10
MAHSEAMLES,Maharashtra Seamless Limited,5
MAITHANALL,Maithan Alloys Limited,10
MAJESCO,Majesco Limited,5
MALUPAPER,Malu Paper Mills Limited,10
MALWACOTT,Malwa Cotton Spg. Mills Limited,10
MANAKALUCO,Manaksia Aluminium Company Limited,1
MANAKCOAT,Manaksia Coated Metals & Industries Limited,1
MANAKINDST,Manaksia Industries Limited,1
MANAKSIA,Manaksia Limited,2
MANAKSTEEL,Manaksia Steels Limited,1
MANALIPETC,Manali Petrochemicals Limited,5
MANAPPURAM,Manappuram Finance Limited,2
MANDHANA,Mandhana Industries Limited,10
MANGALAM,Mangalam Drugs And Organics Limited,10
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,10
MANGLMCEM,Mangalam Cement Limited,10
MANGTIMBER,Mangalam Timber Products Limited,10
MANINDS,Man Industries (India) Limited,5
MANINFRA,Man Infraconstruction Limited,2
MANPASAND,Manpasand Beverages Limited,10
MANUGRAPH,Manugraph India Limited,2
MARALOVER,Maral Overseas Limited,10
MARATHON,Marathon Nextgen Realty Limited,10
MARICO,Marico Limited,1
MARKSANS,Marksans Pharma Limited,1
MARUTI,Maruti Suzuki India Limited,5
MASKINVEST,Mask Investments Limited,10
MASTEK,Mastek Limited,5
MATRIMONY,Matrimony.Com Limited,5
MAWANASUG,Mawana Sugars Limited,10
MAXINDIA,Max India Limited,2
MAXVIL,Max Ventures and Industries Limited,10
MAYURUNIQ,Mayur Uniquoters Ltd,5
MAZDA,Mazda Limited,10
MBECL,Mcnally Bharat Engineering Company Limited,10
MBLINFRA,MBL Infrastructures Limited,10
MCDHOLDING,McDowell Holdings Limited,10
MCDOWELL-N,United Spirits Limited,10
MCLEODRUSS,Mcleod Russel India Limited,5
MCX,Multi Commodity Exchange of India Limited,10
MEGASOFT,Megasoft Limited,10
MEGH,Meghmani Organics Limited,1
MELSTAR,Melstar Information Technologies Limited,10
MENONBE,Menon Bearings Limited,1
MEP,MEP Infrastructure Developers Limited,10
MERCATOR,Mercator Limited,1
MERCK,Merck Limited,10
METALFORGE,Metalyst Forgings Limited,10
METKORE,Metkore Alloys & Industries Limited,2
MFSL,Max Financial Services Limited,2
MGL,Mahanagar Gas Limited,10
MHRIL,Mahindra Holidays & Resorts India Limited,10
MIC,MIC Electronics Limited,2
MINDACORP,Minda Corporation Limited,2
MINDAIND,Minda Industries Limited,2
MINDTECK,Mindteck (India) Limited,10
MINDTREE,MindTree Limited,10
MIRCELECTR,MIRC Electronics Limited,1
MIRZAINT,Mirza International Limited,2
MMFL,MM Forgings Limited,10
MMTC,MMTC Limited,1
MOHITIND,Mohit Industries Limited,10
MOHOTAMILL,Raisaheb Reckhchand Mohota Spinning & Weaving Mills Limited,10
MOIL,MOIL Limited,10
MOLDTECH,Mold-Tek Technologies Limited,2
MOLDTKPAC,Mold-Tek Packaging Limited,5
MONNETISPA,Monnet Ispat and Energy Limited,10
MONSANTO,Monsanto India Limited,10
MONTECARLO,Monte Carlo Fashions Limited,10
MORARJEE,Morarjee Textiles Limited,7
MOREPENLAB,Morepen Laboratories Limited,2
MOSERBAER,Moser-Baer (I) Limited,10
MOTHERSUMI,Motherson Sumi Systems Limited,1
MOTILALOFS,Motilal Oswal Financial Services Limited,1
MOTOGENFIN,The Motor & General Finance Limited,10
MPHASIS,MphasiS Limited,10
MPSLTD,MPS Limited,10
MRF,MRF Limited,10
MRO-TEK,MRO-TEK Realty Limited,5
MRPL,Mangalore Refinery and Petrochemicals Limited,10
MSPL,MSP Steel & Power Limited,10
MTEDUCARE,MT Educare Limited,10
MTNL,Mahanagar Telephone Nigam Limited,10
MUKANDENGG,Mukand Engineers Limited,10
MUKANDLTD,Mukand Limited,10
MUKTAARTS,Mukta Arts Limited,5
MUNJALAU,Munjal Auto Industries Limited,2
MUNJALSHOW,Munjal Showa Limited,2
MURUDCERA,Murudeshwar Ceramics Limited,10
MUTHOOTCAP,Muthoot Capital Services Limited,10
MUTHOOTFIN,Muthoot Finance Limited,10
NAGAAGRI,Nagarjuna Agrichem Limited,1
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,1
NAGAROIL,Nagarjuna Oil Refinery Limited,1
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,5
NAGREEKEXP,Nagreeka Exports Limited,5
NAHARCAP,Nahar Capital and Financial Services Limited,5
NAHARINDUS,Nahar Industrial Enterprises Limited,10
NAHARPOLY,Nahar Poly Films Limited,5
NAHARSPING,Nahar Spinning Mills Limited,5
NAKODA,Nakoda Limited,5
NATCOPHARM,Natco Pharma Limited,2
NATHBIOGEN,Nath Bio-Genes (India) Limited,10
NATIONALUM,National Aluminium Company Limited,5
NATNLSTEEL,National Steel And Agro Industries Limited,10
NAUKRI,Info Edge (India) Limited,10
NAVINFLUOR,Navin Fluorine International Limited,2
NAVKARCORP,Navkar Corporation Limited,10
NAVNETEDUL,Navneet Education Limited,2
NBCC,NBCC (India) Limited,2
NBIFIN,N. B. I. Industrial Finance Company Limited,10
NBVENTURES,Nava Bharat Ventures Limited,2
NCC,NCC Limited,2
NCLIND,NCL Industries Limited,10
NDGL,Naga Dhunseri Group Limited,10
NDL,Nandan Denim Limited,10
NDTV,New Delhi Television Limited,4
NECCLTD,North Eastern Carrying Corporation Limited,10
NECLIFE,Nectar Lifesciences Limited,1
NELCAST,Nelcast Limited,2
NELCO,NELCO Limited,10
NESCO,Nesco Limited,2
NESTLEIND,Nestle India Limited,10
NETWORK18,Network18 Media & Investments Limited,5
NEULANDLAB,Neuland Laboratories Limited,10
NEXTMEDIA,Next Mediaworks Limited,10
NFL,National Fertilizers Limited,10
NH,Narayana Hrudayalaya Ltd.,10
NHPC,NHPC Limited,10
NIBL,NRB Industrial Bearings Limited,2
NIITLTD,NIIT Limited,2
NIITTECH,NIIT Technologies Limited,10
NILAINFRA,Nila Infrastructures Limited,1
NILKAMAL,Nilkamal Limited,10
NIPPOBATRY,Indo-National Limited,10
NIRAJISPAT,Niraj Ispat Industries Limited,10
NITCO,Nitco Limited,10
NITESHEST,Nitesh Estates Limited,10
NITINFIRE,Nitin Fire Protection Industries Limited,2
NITINSPIN,Nitin Spinners Limited,10
NKIND,NK Industries Limited,10
NLCINDIA,NLC India Limited,10
NMDC,NMDC Limited,1
NOCIL,NOCIL Limited,10
NOIDATOLL,Noida Toll Bridge Company Limited,10
NORBTEAEXP,Norben Tea & Exports Limited,10
NRAIL,N R Agarwal Industries Limited,10
NRBBEARING,NRB Bearing Limited,2
NSIL,Nalwa Sons Investments Limited,10
NTL,Neueon Towers Limited,10
NTPC,NTPC Limited,10
NUCLEUS,Nucleus Software Exports Limited,10
OBEROIRLTY,Oberoi Realty Limited,10
OCCL,Oriental Carbon & Chemicals Limited,10
OCL,OCL India Limited,2
OFSS,Oracle Financial Services Software Limited,5
OIL,Oil India Limited,10
OILCOUNTUB,Oil Country Tubular Limited,10
OISL,OCL Iron and Steel Limited,1
OMAXAUTO,Omax Autos Limited,10
OMAXE,Omaxe Limited,10
OMKARCHEM,Omkar Speciality Chemicals Limited,10
OMMETALS,OM Metals Infraprojects Limited,1
ONELIFECAP,Onelife Capital Advisors Limited,10
ONGC,Oil & Natural Gas Corporation Limited,5
ONMOBILE,OnMobile Global Limited,10
ONWARDTEC,Onward Technologies Limited,10
OPTIEMUS,Optiemus Infracom Limited,10
OPTOCIRCUI,Opto Circuits (India) Limited,10
ORBTEXP,Orbit Exports Limited,10
ORCHIDPHAR,Orchid Pharma Limited,10
ORICONENT,Oricon Enterprises Limited,2
ORIENTABRA,Orient Abrasives Limited,1
ORIENTALTL,Oriental Trimex Limited,10
ORIENTBANK,Oriental Bank of Commerce,10
ORIENTBELL,Orient Bell Limited,10
ORIENTCEM,Orient Cement Limited,1
ORIENTHOT,Oriental Hotels Limited,1
ORIENTLTD,Orient Press Limited,10
ORIENTPPR,Orient Paper & Industries Limited,1
ORIENTREF,Orient Refractories Limited,1
ORISSAMINE,The Orissa Minerals Development Company Limited,1
ORTEL,Ortel Communications Limited,10
ORTINLABSS,Ortin Laboratories Limited,10
PAGEIND,Page Industries Limited,10
PALASHSECU,Palash Securities Limited,10
PALREDTEC,Palred Technologies Limited,10
PANACEABIO,Panacea Biotec Limited,1
PANAMAPET,Panama Petrochem Limited,2
PANORAMUNI,Panoramic Universal Limited,5
PAPERPROD,Huhtamaki PPL Limited,2
PARABDRUGS,Parabolic Drugs Limited,10
PARACABLES,Paramount Communications Limited,2
PARAGMILK,Parag Milk Foods Limited,10
PARAGMILK,Parag Milk Foods Limited,10
PARSVNATH,Parsvnath Developers Limited,5
PATELENG,Patel Engineering Limited,1
PATINTLOG,Patel Integrated Logistics Limited,10
PATSPINLTD,Patspin India Limited,10
PBAINFRA,PBA Infrastructure Limited,10
PCJEWELLER,PC Jeweller Limited,10
PDMJEPAPER,Pudumjee Paper Products Limited,1
PDPL,Parenteral Drugs (India) Limited,10
PDSMFL,PDS Multinational Fashions Limited,10
PDUMJEIND,Pudumjee Industries Limited,2
PDUMJEPULP,Pudumjee Pulp & Paper Mills Limited,2
PEARLPOLY,Pearl Polymers Limited,10
PEL,Piramal Enterprises Limited,2
PENIND,Pennar Industries Limited,5
PENINLAND,Peninsula Land Limited,2
PENPEBS,Pennar Engineered Building Systems Limited,10
PERSISTENT,Persistent Systems Limited,10
PETRONENGG,Petron Engineering Construction Limited,10
