,code,amc
0,3,Aditya Birla Sun Life Mutual Fund
1,3,Aditya Birla Sun Life Mutual Fund
2,3,Aditya Birla Sun Life Mutual Fund
3,3,Aditya Birla Sun Life Mutual Fund
4,3,Aditya Birla Sun Life Mutual Fund
5,4,Baroda BNP Paribas Mutual Fund
6,4,Baroda BNP Paribas Mutual Fund
7,4,Baroda BNP Paribas Mutual Fund
8,4,Baroda BNP Paribas Mutual Fund
9,4,Baroda BNP Paribas Mutual Fund
10,6,DSP Mutual Fund
11,6,DSP Mutual Fund
12,6,DSP Mutual Fund
13,6,DSP Mutual Fund
14,6,DSP Mutual Fund
15,9,HDFC Mutual Fund
16,9,HDFC Mutual Fund
17,9,HDFC Mutual Fund
18,9,HDFC Mutual Fund
19,9,HDFC Mutual Fund
20,10,Principal Mutual Fund
21,10,Principal Mutual Fund
22,13,quant Mutual Fund
23,13,quant Mutual Fund
24,13,quant Mutual Fund
25,13,quant Mutual Fund
26,13,quant Mutual Fund
27,16,JM Financial Mutual Fund
28,16,JM Financial Mutual Fund
29,16,JM Financial Mutual Fund
30,16,JM Financial Mutual Fund
31,16,JM Financial Mutual Fund
32,17,Kotak Mahindra Mutual Fund
33,17,Kotak Mahindra Mutual Fund
34,17,Kotak Mahindra Mutual Fund
35,17,Kotak Mahindra Mutual Fund
36,17,Kotak Mahindra Mutual Fund
37,18,LIC Mutual Fund
38,18,LIC Mutual Fund
39,18,LIC Mutual Fund
40,18,LIC Mutual Fund
41,18,LIC Mutual Fund
42,20,ICICI Prudential Mutual Fund
43,20,ICICI Prudential Mutual Fund
44,20,ICICI Prudential Mutual Fund
45,20,ICICI Prudential Mutual Fund
46,20,ICICI Prudential Mutual Fund
47,21,Nippon India Mutual Fund
48,21,Nippon India Mutual Fund
49,21,Nippon India Mutual Fund
50,21,Nippon India Mutual Fund
51,21,Nippon India Mutual Fund
52,22,SBI Mutual Fund
53,22,SBI Mutual Fund
54,22,SBI Mutual Fund
55,22,SBI Mutual Fund
56,22,SBI Mutual Fund
57,25,Tata Mutual Fund
58,25,Tata Mutual Fund
59,25,Tata Mutual Fund
60,25,Tata Mutual Fund
61,25,Tata Mutual Fund
62,26,Taurus Mutual Fund
63,26,Taurus Mutual Fund
64,26,Taurus Mutual Fund
65,26,Taurus Mutual Fund
66,26,Taurus Mutual Fund
67,27,Franklin Templeton Mutual Fund
68,27,Franklin Templeton Mutual Fund
69,27,Franklin Templeton Mutual Fund
70,27,Franklin Templeton Mutual Fund
71,27,Franklin Templeton Mutual Fund
72,28,UTI Mutual Fund
73,28,UTI Mutual Fund
74,28,UTI Mutual Fund
75,28,UTI Mutual Fund
76,28,UTI Mutual Fund
77,32,Canara Robeco Mutual Fund
78,32,Canara Robeco Mutual Fund
79,32,Canara Robeco Mutual Fund
80,32,Canara Robeco Mutual Fund
81,32,Canara Robeco Mutual Fund
82,33,Sundaram Mutual Fund
83,33,Sundaram Mutual Fund
84,33,Sundaram Mutual Fund
85,33,Sundaram Mutual Fund
86,33,Sundaram Mutual Fund
87,35,Sahara Mutual Fund
88,37,HSBC Mutual Fund
89,37,HSBC Mutual Fund
90,37,HSBC Mutual Fund
91,37,HSBC Mutual Fund
92,37,HSBC Mutual Fund
93,41,Quantum Mutual Fund
94,41,Quantum Mutual Fund
95,41,Quantum Mutual Fund
96,41,Quantum Mutual Fund
97,41,Quantum Mutual Fund
98,42,Invesco Mutual Fund
99,42,Invesco Mutual Fund
100,42,Invesco Mutual Fund
101,42,Invesco Mutual Fund
102,42,Invesco Mutual Fund
103,45,Mirae Asset Mutual Fund
104,45,Mirae Asset Mutual Fund
105,45,Mirae Asset Mutual Fund
106,45,Mirae Asset Mutual Fund
107,45,Mirae Asset Mutual Fund
108,46,Bank of India Mutual Fund
109,46,Bank of India Mutual Fund
110,46,Bank of India Mutual Fund
111,46,Bank of India Mutual Fund
112,46,Bank of India Mutual Fund
113,47,Edelweiss Mutual Fund
114,47,Edelweiss Mutual Fund
115,47,Edelweiss Mutual Fund
116,47,Edelweiss Mutual Fund
117,47,Edelweiss Mutual Fund
118,48,Bandhan Mutual Fund
119,48,Bandhan Mutual Fund
120,48,Bandhan Mutual Fund
121,48,Bandhan Mutual Fund
122,48,Bandhan Mutual Fund
123,53,Axis Mutual Fund
124,53,Axis Mutual Fund
125,53,Axis Mutual Fund
126,53,Axis Mutual Fund
127,53,Axis Mutual Fund
128,54,Navi Mutual Fund
129,54,Navi Mutual Fund
130,54,Navi Mutual Fund
131,54,Navi Mutual Fund
132,54,Navi Mutual Fund
133,55,Motilal Oswal Mutual Fund
134,55,Motilal Oswal Mutual Fund
135,55,Motilal Oswal Mutual Fund
136,55,Motilal Oswal Mutual Fund
137,55,Motilal Oswal Mutual Fund
138,56,L&T Mutual Fund
139,56,L&T Mutual Fund
140,56,L&T Mutual Fund
141,57,IDBI Mutual Fund
142,57,IDBI Mutual Fund
143,57,IDBI Mutual Fund
144,57,IDBI Mutual Fund
145,58,PGIM India Mutual Fund
146,58,PGIM India Mutual Fund
147,58,PGIM India Mutual Fund
148,58,PGIM India Mutual Fund
149,58,PGIM India Mutual Fund
150,59,BNP Paribas Mutual Fund
151,59,BNP Paribas Mutual Fund
152,59,BNP Paribas Mutual Fund
153,61,Union Mutual Fund
154,61,Union Mutual Fund
155,61,Union Mutual Fund
156,61,Union Mutual Fund
157,61,Union Mutual Fund
158,62,360 ONE Mutual Fund (Formerly Known as IIFL Mutual Fund)
159,62,360 ONE Mutual Fund (Formerly Known as IIFL Mutual Fund)
160,62,360 ONE Mutual Fund (Formerly Known as IIFL Mutual Fund)
161,62,360 ONE Mutual Fund (Formerly Known as IIFL Mutual Fund)
162,62,360 ONE Mutual Fund (Formerly Known as IIFL Mutual Fund)
163,63,Groww Mutual Fund
164,63,Groww Mutual Fund
165,63,Groww Mutual Fund
166,63,Groww Mutual Fund
167,63,Groww Mutual Fund
168,64,PPFAS Mutual Fund
169,64,PPFAS Mutual Fund
170,64,PPFAS Mutual Fund
171,64,PPFAS Mutual Fund
172,64,PPFAS Mutual Fund
173,65,IL&FS Mutual Fund (IDF)
174,65,IL&FS Mutual Fund (IDF)
175,65,IL&FS Mutual Fund (IDF)
176,65,IL&FS Mutual Fund (IDF)
177,67,Shriram Mutual Fund
178,67,Shriram Mutual Fund
179,67,Shriram Mutual Fund
180,67,Shriram Mutual Fund
181,67,Shriram Mutual Fund
182,68,IIFCL Mutual Fund (IDF)
183,68,IIFCL Mutual Fund (IDF)
184,68,IIFCL Mutual Fund (IDF)
185,68,IIFCL Mutual Fund (IDF)
186,69,Mahindra Manulife Mutual Fund
187,69,Mahindra Manulife Mutual Fund
188,69,Mahindra Manulife Mutual Fund
189,69,Mahindra Manulife Mutual Fund
190,69,Mahindra Manulife Mutual Fund
191,70,ITI Mutual Fund
192,70,ITI Mutual Fund
193,70,ITI Mutual Fund
194,70,ITI Mutual Fund
195,70,ITI Mutual Fund
196,71,WhiteOak Capital Mutual Fund
197,71,WhiteOak Capital Mutual Fund
198,71,WhiteOak Capital Mutual Fund
199,71,WhiteOak Capital Mutual Fund
200,71,WhiteOak Capital Mutual Fund
201,72,Trust Mutual Fund
202,72,Trust Mutual Fund
203,72,Trust Mutual Fund
204,72,Trust Mutual Fund
205,73,NJ Mutual Fund
206,73,NJ Mutual Fund
207,73,NJ Mutual Fund
208,73,NJ Mutual Fund
209,74,Samco Mutual Fund
210,74,Samco Mutual Fund
211,74,Samco Mutual Fund
212,75,Bajaj Finserv Mutual Fund
213,75,Bajaj Finserv Mutual Fund
214,76,Helios Mutual Fund
215,76,Helios Mutual Fund
216,77,Zerodha Mutual Fund
217,77,Zerodha Mutual Fund
218,78,Old Bridge Mutual Fund
