date,isin_div_payout_isin_growth,isin_div_reinvestment,scheme_name,net_asset_value,repurchase_price,sale_price
18-Sep-17,INF209K01S38,,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,65.0491,,
18-Sep-17,INF090I01HG7,,Franklin India Low Duration Fund - Direct - Growth,19.526,,
18-Sep-17,INF789F01XD4,,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.5445,,
18-Sep-17,INF209K01VA3,,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,269.4249,,
19-Sep-17,INF846K01EW2,,Axis Long Term Equity Fund - Direct Plan - Growth Option,42.2549,,
19-Sep-17,INF846K01131,,Axis Long Term Equity Fund - Growth,39.9799,,
19-Sep-17,INF209K01VH8,,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,457.07,,
19-Sep-17,INF209K01YY7,,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,225.68,,
19-Sep-17,INF090I01IQ4,,Franklin India Smaller Companies Fund - Direct - Growth,60.8078,,
19-Sep-17,INF109K016L0,,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,40.21,,
19-Sep-17,INF917K01HD4,,L&T India Value Fund-Direct Plan-Growth,37.884,,
19-Sep-17,INF209K01N82,,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,31.178,,
19-Sep-17,INF209K01S38,,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,65.0712,,
19-Sep-17,INF090I01HG7,,Franklin India Low Duration Fund - Direct - Growth,19.5305,,
19-Sep-17,INF789F01XD4,,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.5499,,
19-Sep-17,INF209K01VA3,,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,269.4757,,
20-Sep-17,INF846K01EW2,,Axis Long Term Equity Fund - Direct Plan - Growth Option,42.1747,,
20-Sep-17,INF846K01131,,Axis Long Term Equity Fund - Growth,39.9025,,
20-Sep-17,INF209K01VH8,,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,455.05,,
20-Sep-17,INF209K01YY7,,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,225.29,,
20-Sep-17,INF090I01IQ4,,Franklin India Smaller Companies Fund - Direct - Growth,60.662,,
20-Sep-17,INF109K016L0,,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,40.15,,
20-Sep-17,INF917K01HD4,,L&T India Value Fund-Direct Plan-Growth,37.928,,
20-Sep-17,INF209K01N82,,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,31.1829,,
20-Sep-17,INF209K01S38,,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,65.0879,,
20-Sep-17,INF090I01HG7,,Franklin India Low Duration Fund - Direct - Growth,19.5357,,
20-Sep-17,INF789F01XD4,,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.5634,,
20-Sep-17,INF209K01VA3,,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,269.523,,
21-Sep-17,INF846K01EW2,,Axis Long Term Equity Fund - Direct Plan - Growth Option,42.1447,,
21-Sep-17,INF846K01131,,Axis Long Term Equity Fund - Growth,39.8729,,
21-Sep-17,INF209K01VH8,,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,453.73,,
21-Sep-17,INF209K01YY7,,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,224.67,,
21-Sep-17,INF090I01IQ4,,Franklin India Smaller Companies Fund - Direct - Growth,60.4475,,
21-Sep-17,INF109K016L0,,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,40.01,,
21-Sep-17,INF917K01HD4,,L&T India Value Fund-Direct Plan-Growth,37.821,,
21-Sep-17,INF209K01N82,,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,31.0635,,
21-Sep-17,INF209K01S38,,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,65.0005,,
21-Sep-17,INF090I01HG7,,Franklin India Low Duration Fund - Direct - Growth,19.5245,,
21-Sep-17,INF789F01XD4,,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.4983,,
21-Sep-17,INF209K01VA3,,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,269.5685,,
22-Sep-17,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,41.5579,41.5579,41.5579
22-Sep-17,INF846K01131,-,Axis Long Term Equity Fund - Growth,39.3166,39.3166,39.3166
22-Sep-17,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,442.44,438.02,442.44
22-Sep-17,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,220.39,218.19,220.39
22-Sep-17,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,59.1679,58.5762,59.1679
22-Sep-17,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,39.34,38.95,39.34
22-Sep-17,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,36.915,36.546,36.915
22-Sep-17,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,31.0649,30.9096,31.0649
22-Sep-17,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,64.9972,64.9972,64.9972
22-Sep-17,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,19.5257,19.4281,19.5257
22-Sep-17,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.4998,20.4998,20.4998
24-Sep-17,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,269.7055,269.7055,269.7055
25-Sep-17,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,41.0216,41.0216,41.0216
25-Sep-17,INF846K01131,-,Axis Long Term Equity Fund - Growth,38.8055,38.8055,38.8055
25-Sep-17,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,437.32,432.95,437.32
25-Sep-17,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,218.06,215.88,218.06
25-Sep-17,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,58.5473,57.9618,58.5473
25-Sep-17,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,38.95,38.56,38.95
25-Sep-17,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,36.44,36.076,36.44
25-Sep-17,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,31.1317,30.976,31.1317
25-Sep-17,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,65.0587,65.0587,65.0587
25-Sep-17,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,19.5405,19.4428,19.5405
25-Sep-17,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.5343,20.5343,20.5343
25-Sep-17,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,269.7521,269.7521,269.7521
27-Sep-17,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,40.4635,40.4635,40.4635
27-Sep-17,INF846K01131,-,Axis Long Term Equity Fund - Growth,38.2753,38.2753,38.2753
27-Sep-17,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,430.33,426.03,430.33
27-Sep-17,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,215.37,213.22,215.37
27-Sep-17,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,57.8409,57.2625,57.8409
27-Sep-17,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,38.58,38.19,38.58
27-Sep-17,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,35.902,35.543,35.902
27-Sep-17,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,31.0762,30.9208,31.0762
27-Sep-17,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,65.0423,65.0423,65.0423
27-Sep-17,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,19.5454,19.4477,19.5454
27-Sep-17,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.5063,20.5063,20.5063
27-Sep-17,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,269.8528,269.8528,269.8528
28-Sep-17,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,40.659,40.659,40.659
28-Sep-17,INF846K01131,-,Axis Long Term Equity Fund - Growth,38.459,38.459,38.459
27-Sep-17,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,430.33,426.03,430.33
27-Sep-17,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,215.37,213.22,215.37
28-Sep-17,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,58.2601,57.6775,58.2601
28-Sep-17,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,38.83,38.44,38.83
28-Sep-17,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,35.995,35.635,35.995
28-Sep-17,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,31.1092,30.9537,31.1092
28-Sep-17,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,65.0708,65.0708,65.0708
28-Sep-17,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,19.5515,19.4537,19.5515
28-Sep-17,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.5276,20.5276,20.5276
28-Sep-17,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,269.9039,269.9039,269.9039
29-Sep-17,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,40.9177,40.9177,40.9177
29-Sep-17,INF846K01131,-,Axis Long Term Equity Fund - Growth,38.7025,38.7025,38.7025
29-Sep-17,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,435.67,431.31,435.67
29-Sep-17,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,217.7,215.52,217.7
29-Sep-17,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,58.8561,58.2675,58.8561
28-Sep-17,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,38.83,38.44,38.83
29-Sep-17,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,36.322,35.959,36.322
29-Sep-17,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,31.1125,30.9569,31.1125
29-Sep-17,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,65.077,65.077,65.077
28-Sep-17,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,19.5515,19.4537,19.5515
29-Sep-17,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.5227,20.5227,20.5227
28-Sep-17,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,269.9039,269.9039,269.9039
6-Oct-17,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,41.4115,41.4115,41.4115
6-Oct-17,INF846K01131,-,Axis Long Term Equity Fund - Growth,39.1612,39.1612,39.1612
6-Oct-17,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,447.85,443.37,447.85
6-Oct-17,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,221.59,219.37,221.59
6-Oct-17,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,59.9435,59.3441,59.9435
6-Oct-17,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,39.63,39.23,39.63
6-Oct-17,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,37.157,36.785,37.157
6-Oct-17,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,30.9951,30.8401,30.9951
6-Oct-17,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,65.1354,65.1354,65.1354
6-Oct-17,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,19.589,19.4911,19.589
6-Oct-17,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.4874,20.4874,20.4874
8-Oct-17,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,270.4013,270.4013,270.4013
30-Nov-17,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,42.6016,42.6016,42.6016
30-Nov-17,INF846K01131,-,Axis Long Term Equity Fund - Growth,40.2181,40.2181,40.2181
30-Nov-17,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,452.7,448.17,452.7
30-Nov-17,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,225.24,222.99,225.24
30-Nov-17,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,64.9638,64.3142,64.9638
30-Nov-17,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,41.32,40.91,41.32
30-Nov-17,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,38.853,38.464,38.853
30-Nov-17,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,30.8466,30.6924,30.8466
30-Nov-17,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,65.6334,65.6334,65.6334
30-Nov-17,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,19.7886,19.6897,19.7886
30-Nov-17,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.5248,20.5248,20.5248
30-Nov-17,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,272.9046,272.9046,272.9046
29-Dec-17,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,44.2977,44.2977,44.2977
29-Dec-17,INF846K01131,-,Axis Long Term Equity Fund - Growth,41.7816,41.7816,41.7816
29-Dec-17,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,468.19,463.51,468.19
29-Dec-17,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,233.26,230.93,233.26
29-Dec-17,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,67.1561,66.4845,67.1561
29-Dec-17,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,42.68,42.25,42.68
29-Dec-17,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,40.552,40.146,40.552
29-Dec-17,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,30.6027,30.4497,30.6027
29-Dec-17,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,65.6443,65.6443,65.6443
29-Dec-17,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,19.8519,19.7526,19.8519
29-Dec-17,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.3259,20.3259,20.3259
31-Dec-17,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,274.4448,274.4448,274.4448
19-Jan-18,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,45.9092,45.9092,45.9092
19-Jan-18,INF846K01131,-,Axis Long Term Equity Fund - Growth,43.2733,43.2733,43.2733
19-Jan-18,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,463.17,458.54,463.17
19-Jan-18,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,237.59,235.21,237.59
19-Jan-18,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,67.4139,66.7398,67.4139
19-Jan-18,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,43.55,43.11,43.55
19-Jan-18,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,41.27,40.857,41.27
19-Jan-18,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,30.483,30.3306,30.483
19-Jan-18,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,65.8118,65.8118,65.8118
19-Jan-18,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,19.9295,19.8299,19.9295
19-Jan-18,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.3214,20.3214,20.3214
21-Jan-18,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,275.4637,275.4637,275.4637
23-Feb-18,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,43.1378,43.1378,43.1378
23-Feb-18,INF846K01131,-,Axis Long Term Equity Fund - Growth,40.6171,40.6171,40.6171
23-Feb-18,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,431.71,427.39,431.71
23-Feb-18,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,226.24,223.98,226.24
23-Feb-18,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,63.6356,62.9992,63.6356
23-Feb-18,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,41.77,41.35,41.77
23-Feb-18,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,39.062,38.671,39.062
23-Feb-18,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,30.2165,30.0654,30.2165
23-Feb-18,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,66.0078,66.0078,66.0078
23-Feb-18,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,20.0547,19.9544,20.0547
23-Feb-18,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.3,20.3,20.3
25-Feb-18,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,277.2268,277.2268,277.2268
28-Mar-18,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,42.8589,42.8589,42.8589
28-Mar-18,INF846K01131,-,Axis Long Term Equity Fund - Growth,40.3238,40.3238,40.3238
28-Mar-18,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,422.99,418.76,422.99
28-Mar-18,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,219.73,217.53,219.73
28-Mar-18,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,62.3928,61.7689,62.3928
28-Mar-18,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,40.48,40.08,40.48
28-Mar-18,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,37.421,37.047,37.421
28-Mar-18,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,30.8357,30.6815,30.8357
28-Mar-18,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,66.7838,66.7838,66.7838
28-Mar-18,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,20.2973,20.1958,20.2973
28-Mar-18,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.713,20.713,20.713
1-Apr-18,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,279.3819,279.3819,279.3819
23-Apr-18,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,45.7622,45.7622,45.7622
23-Apr-18,INF846K01131,-,Axis Long Term Equity Fund - Growth,43.0312,43.0312,43.0312
23-Apr-18,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,443.27,438.84,443.27
23-Apr-18,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,229.45,227.16,229.45
23-Apr-18,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,64.7335,64.0862,64.7335
23-Apr-18,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,42.31,41.89,42.31
23-Apr-18,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,39.706,39.309,39.706
23-Apr-18,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,30.6127,30.4596,30.6127
23-Apr-18,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,66.7829,66.7829,66.7829
23-Apr-18,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,20.3656,20.2638,20.3656
23-Apr-18,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.6955,20.6955,20.6955
23-Apr-18,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,280.5554,280.5554,280.5554
30-Apr-18,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,46.3585,46.3585,46.3585
30-Apr-18,INF846K01131,-,Axis Long Term Equity Fund - Growth,43.5825,43.5825,43.5825
30-Apr-18,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,449.11,444.62,449.11
30-Apr-18,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,232.04,229.72,232.04
30-Apr-18,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,65.8546,65.1961,65.8546
30-Apr-18,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,42.53,42.1,42.53
30-Apr-18,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,39.958,39.558,39.958
27-Apr-18,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,30.5623,30.4095,30.5623
27-Apr-18,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,66.6555,66.6555,66.6555
27-Apr-18,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,20.349,20.2473,20.349
27-Apr-18,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.6432,20.6432,20.6432
1-May-18,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,280.9754,280.9754,280.9754
2-May-18,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,46.423,46.423,46.423
2-May-18,INF846K01131,-,Axis Long Term Equity Fund - Growth,43.6404,43.6404,43.6404
2-May-18,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,443.81,439.37,443.81
2-May-18,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,230.35,228.05,230.35
2-May-18,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,65.4064,64.7523,65.4064
2-May-18,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,42.24,41.82,42.24
2-May-18,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,39.562,39.166,39.562
2-May-18,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,30.6177,30.4646,30.6177
2-May-18,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,66.7578,66.7578,66.7578
2-May-18,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,20.3827,20.2808,20.3827
2-May-18,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.6698,20.6698,20.6698
2-May-18,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,281.0257,281.0257,281.0257
03-May-2018,INF789F01XD4,-,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.6762,20.6762,20.6762
03-May-2018,INF846K01EW2,-,Axis Long Term Equity Fund - Direct Plan - Growth Option,46.0162,46.0162,46.0162
03-May-2018,INF846K01131,-,Axis Long Term Equity Fund - Growth,43.2566,43.2566,43.2566
03-May-2018,INF209K01VH8,-,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,439.82,435.42,439.82
03-May-2018,INF209K01YY7,-,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,229.14,226.85,229.14
03-May-2018,INF090I01IQ4,-,Franklin India Smaller Companies Fund - Direct - Growth,65.1094,64.4583,65.1094
03-May-2018,INF109K016L0,-,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,42.06,41.64,42.06
03-May-2018,INF917K01HD4,-,L&T India Value Fund-Direct Plan-Growth,39.31,38.917,39.31
03-May-2018,INF209K01N82,-,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,30.6251,30.4720,30.6251
03-May-2018,INF209K01S38,-,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,66.7672,66.7672,66.7672
03-May-2018,INF090I01HG7,-,Franklin India Low Duration Fund - Direct - Growth,20.3878,20.2859,20.3878
03-May-2018,INF209K01VA3,-,Aditya Birla Sun Life Cash Plus - Growth - Direct Plan,281.0740,281.0740,281.0740
